"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"66009018","20220401","20220401","長實開發股份有限公司","CHEUNGKONG CO., LTD.","新北市中和區景新街34巷2之3號","No. 2-3, Ln. 34, Jingxin St., Zhonghe Dist., New Taipei City 23575, Taiwan (R.O.C.)","林O億","02-22235635","","有","有"
"66250470","20180706","20210815","茂暉國際有限公司","Mao Hui TPRO International CO., LTD.","新北市中和區錦和路368號(1樓)","1 F., No. 368, Jinhe Rd., Zhonghe Dist., New Taipei City 23563, Taiwan (R.O.C.)","范O先","02-29966881","02-29966993","有","有"
"66250507","20161019","20210814","瑞聲材料科技股份有限公司","RSM TECHNOLOGIES CO., LTD","新北市樹林區長壽街15之5號4樓","4 F., No. 15-5, Changshou St., Shulin Dist., New Taipei City 23872, Taiwan (R.O.C.)","鍾O聲","02-26862458","","有","有"
"66250555","20161020","20240727","富鉅興業有限公司","3 WATER CO., LTD.","新北市新莊區建中街6號9樓之1","9 F.-1, No. 6, Jianzhong St., Xinzhuang Dist., New Taipei City 242013, Taiwan (R.O.C.)","黃O停","02-29946399","02-29946399","有","有"
"66250632","20161018","20210813","精彩人生有限公司","BRAVO LIFE LIMITED","新北市板橋區三民路2段202之24號3樓","3 F., No. 202-24, Sec. 2, Sanmin Rd., Banqiao Dist., New Taipei City 22069, Taiwan (R.O.C.)","藍O呈","","","有","有"
"66250653","20161018","20210816","暘信化工科技有限公司","YOUNGSHIN CHEMICALS AND TECHNOLOGY CO., LTD.","桃園市桃園區國際路一段1185號5樓之4","5F.-4, NO. 1185, SEC. 1, GUOJI RD., TAOYUAN DIST., TAOYUAN CITY 330, TAIWAN (R.O.C.)","林O榛","03-3698923","03-3690927","有","有"
"66250696","20170816","20220115","帝捷科技有限公司","DAJIE TECHNOLOGY CO., LTD.","新北市新莊區新樹路310巷5號","No. 5, Ln. 310, Xinshu Rd., Xinzhuang Dist., New Taipei City 24262, Taiwan (R.O.C.)","吳O雲","02-82011096","02-82010916","有","有"
"66250859","20161020","20210814","金律實業有限公司","DREAM LEAP CO., LTD.","新北市中和區中和路476號","No. 476, Zhonghe Rd., Zhonghe Dist., New Taipei City 23574, Taiwan (R.O.C.)","陳O亨","02-29285319","","有","有"
"66250957","20170313","20210814","芯緯科技有限公司","COREWAYS TECHNOLOGY CO., LTD.","新北市三峽區學勤路100號12樓","12 F., No. 100, Xueqin Rd., Sanxia Dist., New Taipei City 23741, Taiwan (R.O.C.)","汪O培","0936666435","","有","有"
"66251007","20161108","20211029","伯儀科技有限公司","Pioneer Instrument Ltd.","新北市板橋區三民路2段正泰四巷7號3樓","3F., NO. 7, ZHENGTAI 4TH LN., SEC. 2, SANMIN RD., BANQIAO DIST., NEW TAIPEI CITY 22069, TAIWAN (R.O.C.)","楊O棨","02-29631010","","有","有"
"66251344","20170207","20210813","展群國際有限公司","JHANCYUN CO., LTD.","新北市三重區三和路3段114號(1樓)","1 F., No. 114, Sec. 3, Sanhe Rd., Sanchong Dist., New Taipei City 24146, Taiwan (R.O.C.)","李O珊","02-29838552","","有","有"
"66251386","20231006","20231006","樂米穀場股份有限公司","Lohas Rice CO., LTD.","新北市永和區永貞路287巷1號","No. 1, Ln. 287, Yongzhen Rd., Yonghe Dist., New Taipei City 234018, Taiwan (R.O.C.)","曾O恩","02-29223030","","有","有"
"66251490","20170502","20240426","麒蘊刺繡企業有限公司","CHI-YUN EMBROIDERY CO., LTD.","新北市三重區成功路41巷8弄9號","No. 9, Aly. 8, Ln. 41, Chenggong Rd., Sanchong Dist., New Taipei City 24144, Taiwan (R.O.C.)","歐O星","02-29767760","02-29772050","有","有"
"66251528","20180316","20210815","盛福洋國際有限公司","SHENG FU YANG INT'L LTD.","新北市樹林區三俊街252巷31號","No. 31, Ln. 252, Sanjun St., Shulin Dist., New Taipei City 23865, Taiwan (R.O.C.)","邱O村","02-26882408","","有","有"
"66251533","20220804","20220804","億德投資有限公司","YIDE HOLDING CORP.","新北市八里區中華路2段538之9號16樓","16 F., No. 538-9, Sec. 2, Zhonghua Rd., Bali Dist., New Taipei City 249607, Taiwan (R.O.C.)","郭O國","0937-097-950","","有","有"
"66251668","20220616","20220616","冠品廣告整合有限公司","Guanpin advertising integration co .,ltd","新北市三重區溪尾街45號12樓之2","12 F.-2, No. 45, Xiwei St., Sanchong Dist., New Taipei City 241062, Taiwan (R.O.C.)","陳O宇","02-28578558","","有","有"
"66251745","20161101","20210812","致新機電科技有限公司","GREEN & LIGHT MARKETING CO., LTD","新北市中和區圓通路403之1號8樓","8 F., No. 403-1, Yuantong Rd., Zhonghe Dist., New Taipei City 23563, Taiwan (R.O.C.)","徐O琮","02-22428529","","有","有"
"66252033","20161121","20241120","日玉盛複合材料股份有限公司","SUNMIX MATERIALS CO., LTD.","苗栗縣竹南鎮大埔里五福街38號","No. 38, Wufu St., Dapu Vil., Zhunan Township, Miaoli County 350028, Taiwan (R.O.C.)","黃O修","037-585848","037-585849","有","有"
"66252456","20161128","20230316","嘉思國際有限公司","JIA SI INT'L CO., LTD.","新北市樹林區中山路2段214巷3號(2樓)","2 F., No. 3, Ln. 214, Sec. 2, Zhongshan Rd., Shulin Dist., New Taipei City 238011, Taiwan (R.O.C.)","王O凱","02-26820168","02-26810229","有","有"
