"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"10000850","20130115","20211112","木俞設計室內裝修","WOODBLOCK INTERIOR DESIGN CO.","新北市汐止區康寧街61巷30號2樓","2 F., No. 30, Ln. 61, Kangning St., Xizhi Dist., New Taipei City 22153, Taiwan (R.O.C.)","朱O榆","02-27119695","02-27117833","有","有"
"10004547","20171207","20210812","安用無線電企業社","Victor marine Co.","宜蘭縣頭城鎮武營里青雲路三段347號一樓","1 F., No. 347, Sec. 3, Qingyun Rd., Wuying Vil., Toucheng Township, Yilan County 26144, Taiwan (R.O.C.)","林O民","03-9789497","","有","有"
"10009944","20071207","20230112","多倫多武術用品行","TORONTO MARTIAL ART STORE","新北市板橋區貴興路５４號１樓","1 F., No. 54, Guixing Rd., Banqiao Dist., New Taipei City 220056, Taiwan (R.O.C.)","呂O蓉","02-89516537","02-29506714","無","無"
"10019020","20120621","20210811","全閎企業社","CHUAN-HON CO.","新北市土城區中央路１段２９１巷３４號１樓","1 F., No. 34, Ln. 291, Sec. 1, Zhongyang Rd., Tucheng Dist., New Taipei City 23665, Taiwan (R.O.C.)","謝O全","03-3770979","03-3776621","有","有"
"10019696","20121127","20210811","林堯企業社","LIN YAOO ENTERPRISE CO.","新北市新莊區新莊路２１９號１樓","1 F., No. 219, Xinzhuang Rd., Xinzhuang Dist., New Taipei City 24241, Taiwan (R.O.C.)","葉O龍","02-89919120","02-89914836","有","有"
"10020835","20070829","20250815","立全企業社","TOP FULLY ENTERPRISE CO.","桃園市平鎮區金星里新光路4段161號5樓","5 F., No. 161, Sec. 4, Xinguang Rd., Jinxing Vil., Pingzhen Dist., Taoyuan City 32458, Taiwan (R.O.C.)","楊O全","03-4962853","03-4642452","有","有"
"10021948","20070831","20210812","新雅部品企業社","SHIN YEA BU PIN ENTERPRISE CO.","新北市蘆洲區和平路１２１巷１４弄３號１樓","1 F., No. 3, Aly. 14, Ln. 121, Heping Rd., Luzhou Dist., New Taipei City 24750, Taiwan (R.O.C.)","黃O慧","02-82826336","02-82828333","有","有"
"10023755","20150826","20240919","晉城企業社","NEW TAIPEI JC TRADE CO.","新北市蘆洲區中原路12巷27號","No. 27, Ln. 12, Zhongyuan Rd., Luzhou Dist., New Taipei City 247026, Taiwan (R.O.C.)","李O輝","02-28571122","02-28574500","有","有"
"10025901","20110804","20210811","樂高實業社","LOGO INDUSTRY CO.","新北市蘆洲區復興路９０巷５號１樓","1 F., No. 5, Ln. 90, Fuxing Rd., Luzhou Dist., New Taipei City 24744, Taiwan (R.O.C.)","陳O安","02-82822245","02-82820521","有","有"
"10028365","20071221","20210811","東琪木業社","DONG CI WOODEN INDUSTRY CO.","桃園市大溪區福仁里和平路１７號１樓","1 F., No. 17, Heping Rd., Furen Vil., Daxi Dist., Taoyuan City 33541, Taiwan (R.O.C.)","鄭O寶玉","03-3882734","03-3881330","有","有"
"10029701","20100503","20210811","塑保企業社","SUPER ENVIRONMENTAL INDUSTRIAL CO.","桃園市平鎮區義興里延平路二段二九之一號十一樓","11 F., No. 29-1, Sec. 2, Yanping Rd., Yixing Vil., Pingzhen Dist., Taoyuan City 32445, Taiwan (R.O.C.)","羅O枝","03-4971779","03-4970086","有","有"
"10030545","20070917","20210811","耀瓏企業社","VGUARD TECHNOLOGY CO.","新北市汐止區秀峰路７４號４樓（現場僅供辦公室使用）","4 F., No. 74, Xiufeng Rd., Xizhi Dist., New Taipei City 22167, Taiwan (R.O.C.)","張O嬌","02-26464088","","有","有"
"10031164","20120530","20230112","九雲冒險行銷社","CLOUD9 ADVENTURE CO.","新北市三重區長生街22號2樓","2 F., No. 22, Changsheng St., Sanchong Dist., New Taipei City 241046, Taiwan (R.O.C.)","林O宸","02-29759846","","有","有"
"10032044","20071003","20210811","長昇機械起重工程行","EVER RISING MECHANICAL LIFTING ENGINEERING CO.","基隆市暖暖區碇和里源遠路一五二巷九號一四樓","14 F., No. 9, Ln. 152, Yuanyuan Rd., Dinghe Vil., Nuannuan Dist., Keelung City 20545, Taiwan (R.O.C.)","陶O安","02-25996979","02-25997079","有","有"
"10033439","20081030","20221230","政旺精品商行","JENG WANG BOUTIQUE CO.","新北市三重區仁政街１５２之６號２樓","2 F., No. 152-6, Renzheng St., Sanchong Dist., New Taipei City 241061, Taiwan (R.O.C.)","簡O光","02-89883388","02-89882233","無","無"
"10037110","20141209","20210811","協坤企業社","SHYE KUEN CO.","桃園市大園區菓林里菓林路302號1樓","1 F., No. 302, Dayuan Dist., Taoyuan City 337, Taiwan (R.O.C.)","莊O峰","03-3180009","03-3186632","有","有"
"10041085","20200311","20210812","隆迪工程行","LONG DI ENGINEERING  CO.","新北市中和區和平街２巷４弄６號（現場僅供辦公室使用）","No. 6, Aly. 4, Ln. 2, Heping St., Zhonghe Dist., New Taipei City 23571, Taiwan (R.O.C.)","游O財","02-29435928","","有","有"
"10041521","20120202","20210811","培華蘭園","PROFAR NURSERY CO.","宜蘭縣羅東鎮興東路二九五巷六號﹝限使用一樓﹞","1 F., No. 6, Ln. 295, Xingdong Rd., Luodong Township, Yilan County 26541, Taiwan (R.O.C.)","周O琪","03-9547223","","有","有"
"10045744","20120420","20210811","象藏工作室","TONI STUDIO","新北市永和區安樂路１９８巷４弄１０號２樓（現場僅供辦公室使用）","2 F., No. 10, Aly. 4, Ln. 198, Anle Rd., Yonghe Dist., New Taipei City 23455, Taiwan (R.O.C.)","陳O明","0922526149","","有","有"
"10049235","20220704","20220704","威証企業社","WEN CHENG CO.","桃園市龍潭區烏林里工二路一段186號","No. 186, Sec. 1, Gong 2nd Rd., Wulin Vil., Longtan Dist., Taoyuan City 325019, Taiwan (R.O.C.)","廖O火","03-4801650","","有","有"
"10050008","20090527","20210811","富期商行","FORTUNE NEROLI CO.","新北市板橋區民生路1段1之1號13樓之1","13F.-1, No. 1-1, Sec. 1, Minsheng Rd., Banqiao Dist., New Taipei City 22069, Taiwan (R.O.C.)","黃O玲","02-29616500","02-29547500","有","有"
"10054617","20071019","20230112","恭信企業社","KYOSHIN TRADING CO.","新北市板橋區中正路352巷5號","No. 5, Ln. 352, Zhongzheng Rd., Banqiao Dist., New Taipei City 220036, Taiwan (R.O.C.)","邱O彬","02-32339030","02-32339032","無","無"
