"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"06004593","19870220","20230414","倍利開發股份有限公司","BARITS DEVELOPMENT CORPORATION","彰化縣福興鄉福工路2號","No. 2, Fugong Rd., Fuxing Township, Changhua County 506027, Taiwan (R.O.C.)","吳O琪","04-7695147","04-7680577","有","有"
"06005734","20010206","20230716","弘貹實業有限公司","HORNG TSAN INDUSTRIAL CO., LTD.","彰化縣埔心鄉瓦中村員鹿路一段八三號","No. 83, Sec. 1,  Yuanlu Rd., Wazhong Vil., Puxin Township,  Changhua County 513005, Taiwan (R.O.C.)","張O清","04-8296937-8","04-8281606","無","無"
"06006564","20000119","20230210","億栓實業股份有限公司","YEAR SHUAN ENTERPRISE CO., LTD.","彰化縣埤頭鄉和豐村新生路94號","No. 94, Xinsheng Rd., Hefeng Vil., Pitou Township,  Changhua County 523008, Taiwan (R.O.C.)","楊O順","","","有","有"
"06007108","20021003","20210814","和展國際金屬股份有限公司","HE ZHAN INTERNATIONAL METAL CO., LTD.","彰化縣田尾鄉新厝村光明巷33號","No. 33, Guangming Ln., Tianwei Township, Changhua County 52241, Taiwan (R.O.C.)","羅O宏","04-8831769","04-8832109","有","有"
"06008042","20091016","20210811","恆億纖維塑膠廠","HENRNG JIH FACTORY","彰化縣北斗鎮七星里陶朱路十號","No. 10, Taozhu Rd., Qixing Vil., Beidou Township, Changhua County 52146, Taiwan (R.O.C.)","邱O南","04-8871723","04-8885945","有","有"
"06008063","19941028","20230111","億豐碾米廠","YI FONG RICE MILL WORKS","彰化縣埤頭鄉興農村彰水路4段472巷15號","No. 15, Ln. 472, Sec. 4, Zhangshui Rd., Xingnong Vil., Pitou Township,  Changhua County 523010, Taiwan (R.O.C.)","蔡O菊","","","無","無"
"06009871","20021003","20210811","昌霖工業社","SEASONABLE RAIN INDUSTRY COMPANY","彰化縣北斗鎮中寮里裕後路５６６巷１８號","No. 18, Ln. 566, Yuhou Rd., Zhongliao Vil., Beidou Township, Changhua County 52143, Taiwan (R.O.C.)","林O梅","04-8881753","04-8877642","有","有"
"06011779","20200406","20210811","慶豐牛排館","Qingfeng Steak House","彰化縣員林市仁美里中正路618號","No. 618, Zhongzheng Rd., Renmei Vil., Yuanlin City, Changhua County 51041, Taiwan (R.O.C.)","王O浚","04-8345295","","有","有"
"06011855","20081106","20210812","億焜企業社","YI GUN CO., LTD.","彰化縣溪湖鎮西寮里員鹿路4段836號","No. 836, Sec. 4, Yuanlu Rd., Xiliao Vil., Xihu Township, Changhua County 51445, Taiwan (R.O.C.)","陳O焜","04-8656291","04-8656026","有","有"
"06012616","20021021","20210811","百和食品廠","BAI HE FOOD FACTORY","彰化縣北斗鎮大道里復興路五０六號","No. 506, Fuxing Rd., Dadao Vil., Beidou Township, Changhua County 52147, Taiwan (R.O.C.)","林O昌","04-23253645","04-23274077","無","無"
"06012812","20020930","20210812","誠奕金屬製品廠","JENG YEE JE METAL FACTORY","彰化縣花壇鄉白沙村彰員路3段496號","No. 496, Sec. 3, Zhangyuan Rd., Huatan Township, Changhua County 50350, Taiwan (R.O.C.)","鄭O宸","04-769-2386","02-769-0968","有","有"
"06014121","20070410","20210811","永全工業社","YEONG CHYUAN PROCESSING SHOP","彰化縣埤頭鄉中和村彰水路１段４１８號","No. 418, Sec. 1, Zhangshui Rd., Pitou Township, Changhua County 52342, Taiwan (R.O.C.)","謝O如","04-8897838","","有","有"
"06014776","20140827","20210812","信銓企業社","SHIN CHIUAN ENTERPRISE COMPANY","彰化縣彰化市桃源里龍涎北路271號","No. 271, Longxian N. Rd., Taoyuan Vil., Changhua City, Changhua County 50074, Taiwan (R.O.C.)","王O文","04-7363559","04-7363739","有","有"
