"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"67001302","20180817","20230110","江江滷企業有限公司","YUNG TAI CHIANG CO., LTD.","新北市板橋區三民路2段居仁巷30號","No. 30, Juren Ln., Sec. 2, Sanmin Rd., Banqiao Dist., New Taipei City 220083, Taiwan (R.O.C.)","江O鋒","02-29575756","","有","有"
"67003168","20171002","20210815","鼎笙唱片科技有限公司","Deep Sound Inc.","新北市汐止區大同路2段149號2樓","2 F., No. 149, Sec. 2, Datong Rd., Xizhi Dist., New Taipei City 22183, Taiwan (R.O.C.)","蔡O毅","02-86926499","02-86926633","有","有"
"67008109","20171002","20241113","勤思國際有限公司","GEMS International Co., LTD.","臺北市內湖區成功路3段174巷15號11樓","11 F., No. 15, Ln. 174, Sec. 3, Chenggong Rd., Neihu Dist., Taipei City 114024, Taiwan (R.O.C.)","王O任","0931050195","","有","有"
"67018633","20171005","20210814","凱相科技有限公司","KXT Technology Co., Ltd.","新北市三重區重新路2段42號3樓","3 F., No. 42, Sec. 2, Chongxin Rd., Sanchong Dist., New Taipei City 24142, Taiwan (R.O.C.)","潘O昌","02-2972-2773","","有","有"
"67018676","20171016","20210812","彩虹蓮花國際有限公司","Rainbow Lotus International Ltd.","新北市中和區中山路3段146號14樓之21","14F.-21, No. 146, Sec. 3, Zhongshan Rd., Zhonghe Dist., New Taipei City 23546, Taiwan (R.O.C.)","蕭O釆","02-32341882","","無","無"
"67018922","20170928","20250528","薄荷糖國際貿易股份有限公司","MINTS Candy Trading Inc.","新北市中和區建一路177號8樓","8 F., No. 177, Jian 1st Rd., Zhonghe Dist., New Taipei City 235045, Taiwan (R.O.C.)","呂O芬","02-22461306","","有","有"
"67019133","20171019","20230302","玖億珍鮮食品有限公司","JIOU FRESH FOOD CO., LTD.","新北市樹林區大安路538號2樓","2 F., No. 538, Da’an Rd., Shulin Dist., New Taipei City 238009, Taiwan (R.O.C.)","吳O文","02-86875576","02-86873978","有","有"
"67020407","20220726","20220726","玉安文創有限公司","Yu An Creative Co., Ltd.","臺北市大安區羅斯福路3段309號17樓","17 F., No. 309, Sec. 3, Roosevelt Rd., Da'an Dist., Taipei City 106021, Taiwan (R.O.C.)","滕O蘭","02-25365576","","有","有"
"67026009","20170929","20210814","冠紅精密科技有限公司","KAUNHONG PRECISION TECHNOLOGY CO., LTD.","新北市新莊區新樹路310巷5號","No. 5, Ln. 310, Xinshu Rd., Xinzhuang Dist., New Taipei City 24262, Taiwan (R.O.C.)","王O霞","02-82011096","02-82010916","有","有"
"67027909","20110117","20110117","嘉義縣太保市農會","TAI-PO CITY FARMERS' ASSOCIATION","嘉義縣太保市太保里太保５８號","NO.58, TAIBAO VILLAGE, TAIBAO CITY, CHIAYI COUNTY 612, TAIWAN (R.O.C.)","張O祥","05-3711101","05-3717749","有","有"
