"統一編號","原始登記日期","核發日期","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址","代表人","電話號碼","傳真號碼","進口資格","出口資格"
"78001005","20141029","20210812","正大香農產行","CHENG DAI HSIANG FARM PRODUCTION CO.","新竹縣新豐鄉青埔村青埔子六鄰９２-６號","No. 92-6, Qingpuzi, 6th Neighborhood, Xinfeng Township, Hsinchu County 30447, Taiwan (R.O.C.)","王O宗","03-5688696","03-5688756","有","有"
"78002004","20070131","20210811","萬盛企業社","WANE SHENG ENTERPRISE CO.","新竹縣橫山鄉橫山村橫山街２段２９１號１樓","1 F., No. 291, Sec. 2, Hengshan St., Hengshan Township, Hsinchu County 31241, Taiwan (R.O.C.)","蔡O郡","03-5942669","03-5963149","有","有"
"78003432","20040311","20210812","環球木材行","GLOBAL LUMBER CO.","新竹縣竹東鎮榮樂里大同路６９號１樓","1 F., No. 69, Datong Rd., Rongle Vil., Zhudong Township, Hsinchu County 31044, Taiwan (R.O.C.)","李O仁","03-5932838","03-5934499","有","有"
"78006212","20020719","20210811","藝豐企業社","EAFON INDUSTRIAL CORP.","新竹縣橫山鄉橫山村橫山街2段89號2樓","2 F., No. 89, Sec. 2, Hengshan St., Hengshan Township, Hsinchu County 31241, Taiwan (R.O.C.)","黃O娥","03-5934208","03-5933214","有","有"
"78014682","20130530","20221214","信志工業社","BELIEVE & AMBITION CO.","新竹縣新埔鎮上寮里5鄰義民路二段153巷98弄38號","No. 38, Aly. 98, Ln. 153, Sec. 2, Yimin Rd., 5th Neighborhood, Shangliao Vil., Xinpu Township, Hsinchu County 305042, Taiwan (R.O.C.)","林O婷","03-5880988","","有","有"
"78019315","20130906","20220702","正明企業社","ZHENG MING CO.","新竹縣湖口鄉中正村健康一街3號1樓","1 F., No. 3, Jiankang 1st St., Hukou Township, Hsinchu County 303116, Taiwan (R.O.C.)","洪O煌","03-5543756","","有","有"
"78031417","20010214","20210812","大鑫油漆行","TA HSIN PAINT CO.","花蓮縣花蓮市主農里中正路４７號１樓","1 F., No. 47, Zhongzheng Rd., Zhunong Vil., Hualien City, Hualien County 97075, Taiwan (R.O.C.)","李O翰","038-341779","","有","有"
"78043167","20041201","20210811","慈緣環保企業社","TZU-YUAN ENVIRONMENT PROTECTION STORE","花蓮縣吉安鄉吉安村吉興1街373巷1號1樓","1 F., No. 1, Ln. 373, Jixing 1st St., Ji’an Township, Hualien County 97349, Taiwan (R.O.C.)","葉O龍","03-8536417","03-8544807","有","有"
"78050342","20180807","20230616","力信五金行","Lisin Import Hardware Co.","臺北市信義區永吉路310號","No. 310, Yongji Rd., Xinyi Dist., Taipei City 110070, Taiwan (R.O.C.)","鄭O信","02-27652829","02-27652919","有","有"
"78055472","20020927","20210811","柏夏商行","POSHAN GROCERIES CO.","臺北市信義區基隆路2段81之1號12樓","12 F., No. 81-1, Sec. 2, Keelung Rd., Xinyi Dist., Taipei City 11052, Taiwan (R.O.C.)","姚O仁","02-2296-8456","02-2296-8465","有","有"
"78058962","19921118","20210811","祈鑫興業行","TRI-ORO ENTERPRISE CO.","臺北市信義區基隆路2段22號6樓之6","6F.-6, No. 22, Sec. 2, Keelung Rd., Xinyi Dist., Taipei City 11052, Taiwan (R.O.C.)","潘O英","02-27207030","","無","無"
"78059245","20110118","20210811","緣舊藝品店","YUAN-CHIU COLLECTION STORE","臺北市信義區莊敬路261號1樓","1 F., No. 261, Zhuangjing Rd., Xinyi Dist., Taipei City 11049, Taiwan (R.O.C.)","王O莉","02-27234751","02-27233042","有","有"
"78064654","19931001","20210811","敦際商行","DONRG SHEE ENTERPRISE CO.","臺北市松山區南京果路4段197號2樓之1","2F.-1, No. 197, Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","林O聯","02-27467327","","無","無"
"78102587","20020426","20210812","東禾工藝社","DONG HER HANDICRAFT CO.","南投縣埔里鎮溪南里珠生路108號","No. 108, Zhusheng Rd., Xinan Vil., Puli Township, Nantou County 54548, Taiwan (R.O.C.)","陳O再珠","049-299-3221","049-298-5111","有","有"
"78104537","20231011","20231011","文仁銀樓","WENJEN JEWELLERS STORE","南投縣埔里鎮清新里西安路一段８號一樓","1 F., No. 8, Sec. 1, Xi’an Rd., Qingxin Vil., Puli Township, Nantou County 545015, Taiwan (R.O.C.)","詹O宜","049-2992014","","有","有"
"78106134","20170802","20220617","曹山產行","TSAO'S GROCERY STORE","南投縣埔里鎮北安里中華路二一八號","No. 218, Zhonghua Rd., Bei’an Vil., Puli Township, Nantou County 54554, Taiwan (R.O.C.)","曹O程","049-2983394","","有","有"
"78106205","20071023","20210812","埔里農產企業社","BU LI NONG CHAN ENTERPRISE CO.","南投縣埔里鎮蜈蚣里中山路一段178之2號","No. 178-2, Sec. 1, Zhongshan Rd., Wugong Vil., Puli Township, Nantou County 54560, Taiwan (R.O.C.)","黃O澤","049-2992890","","有","有"
"78106747","19950118","20210811","豐力食品廠","FENG LI FOODS WORKS","南投縣魚池鄉中明村文正巷1之29號","No. 1-29, Wenzheng Ln., Yuchi Township, Nantou County 55544, Taiwan (R.O.C.)","劉O欽","049-2896562","049-2897936","有","有"
"78110989","19940901","20210811","豐年農場","RICH YEAR FARM","南投縣埔里鎮水頭里東潤路58號","No. 58, Dongrun Rd., Shuitou Vil., Puli Township, Nantou County 54557, Taiwan (R.O.C.)","鄭O乾","049-2926359","049-29267901","有","有"
